cliente_id,region,dispositivo,canal_adquisicion,segmento,edad,meses_antiguedad,visitas_mes,compras_mes,tiempo_app_min,gasto_marketing,satisfaccion,usa_cupon,abandono,ticket_promedio,ingreso_generado
NR100864,Medellín,desktop,organico,premium,41.0,17,9,3,87.2,18.25,5.0,1,0,151527,729155
NR100865,Medellín,mobile,paid_search,nuevo,29.0,9,8,0,62.6,52.39,4.6,0,0,84752,22897
NR100866,Bogotá,mobile,paid_search,nuevo,44.0,12,7,1,40.8,17.67,4.4,0,0,96249,165534
NR100867,Bogotá,tablet,paid_search,recurrente,37.0,4,8,1,69.1,41.12,3.9,0,0,169929,435045
NR100868,Barranquilla,DESKTOP,email,recurrente,18.0,29,8,0,54.2,44.7,3.6,0,0,85001,40297
NR100869,Bucaramanga,desktop,social_ads,nuevo,37.0,32,6,1,54.1,20.11,3.4,0,0,152076,198590
NR100870,Medellín,mobile,social_ads,nuevo,30.0,7,5,1,22.4,18.24,3.4,0,0,189292,289076
NR100871,Bogotá,desktop,email,premium,39.0,11,6,3,67.1,18.59,3.1,0,0,198503,808283
NR100872,Cali,mobile,email,recurrente,42.0,2,12,1,126.5,33.8,2.3,0,0,68348,376195
NR100873,Medellín,mobile,organico,nuevo,36.0,28,6,1,70.2,13.02,2.6,1,0,62922,172533
NR100874,Bogotá,desktop,social_ads,recurrente,49.0,5,5,0,44.0,26.61,1.5,0,0,151831,4023
NR100875,Bogotá,mobile,paid_search,premium,32.0,13,11,3,100.0,40.14,3.0,1,0,165149,622395
NR100876,Cali,mobile,paid_search,nuevo,40.0,6,9,2,106.8,48.92,3.4,0,1,75404,195411
NR100877,Cali,mobile,organico,nuevo,41.0,14,5,0,35.2,0.95,1.3,1,0,98314,79747
NR100878,Bogotá,desktop,paid_search,recurrente,33.0,24,9,0,100.9,65.2,2.4,1,0,77704,206883
NR100879,Bogotá,mobile,paid_search,recurrente,41.0,20,8,0,37.1,50.8,3.0,1,0,231619,97251
NR100880,Bogotá,desktop,organico,recurrente,29.0,21,3,0,36.0,15.65,2.5,1,0,156049,38696
NR100881,Cali,mobile,social_ads,nuevo,30.0,4,13,1,72.1,40.0,3.0,0,0,148693,329203
NR100882,Bogotá,desktop,email,nuevo,22.0,13,8,1,93.4,23.87,3.6,0,0,146409,313176
NR100883,Bogotá,desktop,organico,recurrente,36.0,45,8,1,42.3,12.54,4.1,0,0,163839,265995
NR100884,Barranquilla,mobile,organico,nuevo,37.0,16,8,2,96.0,4.78,2.8,1,0,65945,339142
NR100885,Bogotá,mobile,email,recurrente,45.0,14,7,0,53.3,11.01,2.9,0,1,25000,67293
NR100886,Cali,mobile,organico,recurrente,41.0,11,10,2,82.0,11.96,1.6,0,0,153218,422362
NR100887,Bogotá,mobile,referido,nuevo,31.0,15,7,3,101.5,21.67,4.1,1,1,112868,383962
NR100888,Bogotá,desktop,social_ads,premium,23.0,14,12,0,84.0,36.35,3.0,1,1,302755,96172
NR100889,Bogotá,mobile,paid_search,premium,38.0,40,13,3,122.7,62.04,4.4,0,0,153986,591359
NR100890,Cali,desktop,organico,recurrente,44.0,23,4,0,70.8,10.91,2.9,1,0,116043,229493
NR100891,Barranquilla,mobile,organico,nuevo,41.0,12,6,1,117.8,8.49,5.0,0,0,82059,346436
NR100892,Barranquilla,mobile,organico,nuevo,44.0,22,8,3,104.0,9.82,5.0,0,0,130603,629917
NR100893,Medellín,tablet,organico,recurrente,32.0,8,5,2,65.7,13.16,4.0,1,0,29275,143667
NR100894,Cali,mobile,social_ads,nuevo,30.0,13,8,1,67.9,88.42,3.7,0,0,110227,203847
NR100895,Bogotá,mobile,organico,premium,27.0,9,18,1,136.8,8.77,4.0,0,0,141398,308860
NR100896,Bogotá,mobile,social_ads,nuevo,33.0,21,6,1,67.3,52.22,2.9,1,0,114877,152669
NR100897,Bucaramanga,mobile,social_ads,recurrente,33.0,13,7,0,69.0,24.26,2.5,0,0,157654,154474
NR100898,Bogotá,mobile,paid_search,nuevo,36.0,15,12,1,106.2,103.15,2.5,0,0,74135,183793
NR100899,Bogotá,mobile,organico,recurrente,,12,10,1,66.4,10.9,2.8,0,0,86469,173647
NR100900,Bogotá,desktop,organico,nuevo,33.0,17,5,0,32.4,7.76,3.6,1,1,179093,12387
NR100901,Bogotá,mobile,organico,recurrente,27.0,22,9,1,83.5,6.42,3.1,1,0,117319,383169
NR100902,Bogotá,mobile,email,nuevo,42.0,32,8,3,69.0,34.11,1.8,0,0,93328,386070
NR100903,Cali,mobile,paid_search,premium,35.0,11,15,5,147.5,152.59,5.0,0,0,130150,920704
NR100904,Medellín,mobile,email,nuevo,32.0,6,9,1,17.1,36.8,3.2,1,0,51171,91222
NR100905,Bucaramanga,desktop,paid_search,premium,27.0,18,18,1,88.8,29.37,5.0,0,0,212959,320472
NR100906,Barranquilla,tablet,paid_search,premium,22.0,5,8,1,74.6,29.35,3.5,0,0,212447,348121
NR100907,Medellín,mobile,paid_search,nuevo,46.0,11,8,2,60.1,40.18,3.2,0,0,47947,255537
NR100908,Bogotá,desktop,social_ads,recurrente,39.0,4,5,0,84.7,34.48,4.0,0,0,117730,80494
NR100909,Medellín,mobile,organico,nuevo,19.0,60,7,0,64.9,9.27,2.9,1,1,53452,123879
NR100910,Cali,mobile,organico,premium,41.0,29,10,2,67.0,11.46,4.3,0,1,195315,443557
NR100911,Bogotá,mobile,social_ads,recurrente,42.0,28,7,2,77.7,99.78,3.2,0,1,157081,280067
NR100912,Cali,mobile,paid_search,nuevo,35.0,33,10,0,38.6,173.51,2.8,0,0,67090,20199
NR100913,Medellín,mobile,paid_search,nuevo,48.0,26,6,0,68.5,32.13,4.5,1,0,91233,115316
NR100914,Medellín,mobile,social_ads,nuevo,36.0,16,11,3,120.2,212.4,2.5,0,0,151572,642208
NR100915,Medellín,mobile,paid_search,premium,21.0,17,9,2,75.4,69.77,3.5,1,0,161074,495156
NR100916,Bogotá,tablet,social_ads,nuevo,,31,5,1,59.8,10.82,4.9,1,0,90121,291362
NR100917,Bucaramanga,mobile,social_ads,recurrente,36.0,32,5,2,41.0,47.15,3.2,0,1,138044,302886
NR100918,Barranquilla,mobile,email,recurrente,29.0,7,15,1,75.2,26.11,2.1,0,0,110717,144790
NR100919,Bogotá,desktop,social_ads,premium,39.0,12,13,4,126.6,16.23,4.7,0,0,250857,1201840
NR100920,Barranquilla,mobile,social_ads,nuevo,19.0,15,6,0,54.5,26.83,3.2,0,1,119682,17076
NR100921,Medellín,mobile,social_ads,recurrente,43.0,26,2,1,99.3,102.03,3.7,0,1,150608,171132
NR100922,Bucaramanga,desktop,email,recurrente,26.0,8,11,2,97.7,14.72,,1,0,76119,320421
NR100923,Barranquilla,tablet,paid_search,recurrente,25.0,7,11,1,53.9,186.1,2.4,0,0,153627,290733
NR100924,Medellín,desktop,paid_search,nuevo,33.0,5,7,2,122.9,30.85,3.6,1,0,106335,436999
NR100925,Bogotá,desktop,email,nuevo,38.0,10,10,1,44.2,85.29,4.4,0,0,114996,136348
NR100926,Bogotá,desktop,social_ads,nuevo,35.0,11,6,1,54.4,47.23,2.9,0,0,58833,216655
NR100927,Medellín,tablet,organico,recurrente,27.0,37,14,2,98.3,6.5,2.7,0,0,98026,386021
NR100928,Cali,mobile,email,nuevo,29.0,24,5,2,72.5,51.53,3.3,0,0,69412,344608
NR100929,Bogotá,mobile,organico,recurrente,24.0,26,10,0,56.0,3.05,3.0,0,0,153385,227109
NR100930,Bogotá,mobile,email,nuevo,32.0,6,6,1,63.1,25.56,3.0,0,0,144356,274874
NR100931,Barranquilla,mobile,email,premium,44.0,12,11,1,108.2,15.91,4.9,0,0,133204,368452
NR100932,Bucaramanga,desktop,referido,premium,34.0,22,13,4,132.9,23.96,4.4,0,0,149082,822188
NR100933,Medellín,desktop,organico,recurrente,42.0,15,7,2,112.2,14.99,4.8,0,0,122178,296160
NR100934,Bogotá,mobile,social_ads,nuevo,47.0,20,5,1,40.5,84.55,3.5,0,0,174964,83651
NR100935,Bogotá,mobile,paid_search,nuevo,29.0,5,9,2,84.9,,3.7,1,1,29627,132737
NR100936,Bogotá,desktop,paid_search,nuevo,32.0,15,3,0,57.2,31.05,5.0,0,1,73588,67488
NR100937,Bucaramanga,mobile,organico,nuevo,54.0,23,13,3,57.1,6.58,3.9,0,0,81474,248424
NR100938,Bogotá,desktop,social_ads,recurrente,47.0,6,6,1,56.0,64.47,3.1,0,0,145291,226940
NR100939,Cali,mobile,paid_search,recurrente,19.0,3,5,1,71.8,74.57,2.5,1,0,97117,268689
NR100940,Bogotá,mobile,organico,premium,37.0,6,8,2,71.9,28.7,3.2,0,0,86197,176276
NR100941,Medellín,mobile,social_ads,recurrente,34.0,31,5,3,56.5,18.56,3.2,0,0,150965,597490
NR100942,Cali,mobile,email,recurrente,41.0,5,9,0,74.6,59.7,3.0,1,0,176915,149146
NR100943,Barranquilla,desktop,email,recurrente,27.0,14,12,2,114.6,12.29,1.7,0,0,54385,275654
NR100944,Bogotá,tablet,referido,recurrente,26.0,3,7,2,76.2,15.82,3.4,0,0,148516,323838
NR100945,Bogotá,desktop,paid_search,nuevo,28.0,7,11,2,37.1,103.64,1.1,0,0,152436,421517
NR100946,Bogotá,mobile,referido,recurrente,29.0,16,12,1,108.2,10.65,4.4,1,0,151081,341167
NR100947,Bucaramanga,mobile,email,recurrente,41.0,14,15,4,81.1,32.6,2.1,0,0,141048,561045
NR100948,Barranquilla,desktop,paid_search,recurrente,23.0,28,8,3,54.9,83.97,3.7,1,1,95185,370656
NR100949,Cali,desktop,organico,premium,28.0,18,9,1,77.6,11.36,3.9,0,0,112072,165516
NR100950,Cali,mobile,paid_search,nuevo,18.0,6,13,1,90.7,114.79,4.5,1,1,138511,219328
NR100951,Cali,mobile,paid_search,nuevo,43.0,12,12,0,61.1,191.5,3.3,0,1,109615,74888
NR100952,Bogotá,desktop,social_ads,recurrente,45.0,10,12,1,97.6,94.35,3.2,0,1,140063,281687
NR100953,Bucaramanga,mobile,social_ads,recurrente,31.0,2,8,1,68.2,15.46,3.6,0,0,113697,284689
NR100954,Medellín,mobile,email,nuevo,31.0,37,5,2,31.0,20.93,3.0,0,0,57199,108667
NR100955,Medellín,mobile,paid_search,recurrente,38.0,14,4,2,39.5,51.98,3.0,0,0,99252,258104
NR100956,Medellín,mobile,organico,premium,47.0,16,8,1,61.7,15.44,4.0,0,0,178123,151354
NR100957,Bogotá,desktop,email,premium,38.0,22,14,2,94.3,3.5,3.7,0,0,275756,725173
NR100958,Bogotá,tablet,paid_search,nuevo,28.0,22,7,0,47.1,8.88,3.7,0,0,74035,48236
NR100959,Cali,mobile,referido,premium,19.0,24,9,5,54.7,45.88,3.6,0,0,119900,721974
NR100960,Bogotá,mobile,organico,recurrente,24.0,11,6,2,52.2,6.19,4.2,0,0,156482,378564
NR100961,Cali,mobile,referido,recurrente,35.0,10,8,6,112.6,9.17,4.3,0,0,27423,284694
NR100962,Bogotá,mobile,organico,recurrente,28.0,28,15,2,97.8,7.61,3.5,0,0,123666,385083
NR100963,Medellín,mobile,organico,premium,36.0,38,10,1,94.7,4.81,2.5,0,0,103116,98967
NR100964,Bogotá,mobile,organico,recurrente,29.0,3,5,2,81.6,,,0,0,221936,601985
NR100965,Medellín,mobile,social_ads,nuevo,24.0,28,6,1,23.5,44.91,5.0,0,1,132692,193254
NR100966,Cali,mobile,email,recurrente,23.0,12,12,2,72.2,21.22,3.0,0,0,81440,333556
NR100967,Bogotá,mobile,paid_search,recurrente,48.0,13,9,3,98.3,9.99,4.3,1,0,135311,559422
NR100968,Cali,mobile,referido,nuevo,42.0,1,6,0,66.5,30.42,3.1,1,0,67854,188998
NR100969,Medellín,mobile,social_ads,premium,50.0,14,12,2,97.6,88.19,3.0,0,0,113021,327127
NR100970,Cali,mobile,social_ads,recurrente,39.0,9,4,0,71.0,43.3,2.5,1,0,68367,50918
NR100971,Bucaramanga,tablet,email,recurrente,30.0,1,7,2,98.7,26.56,3.3,1,1,82108,331568
NR100972,Cali,mobile,paid_search,nuevo,46.0,30,9,0,26.8,57.22,3.6,0,0,110062,18634
NR100973,Bogotá,mobile,paid_search,recurrente,34.0,16,13,1,74.7,154.83,2.1,0,0,181935,411022
NR100974,Bogotá,desktop,referido,nuevo,36.0,18,10,1,88.5,11.76,2.7,0,0,74205,281901
NR100975,Bogotá,tablet,referido,nuevo,34.0,30,2,0,59.9,17.03,3.2,0,0,78938,79644
NR100976,Cali,mobile,referido,recurrente,18.0,22,11,1,115.8,69.92,2.2,1,1,197410,271305
NR100977,Bogotá,desktop,referido,recurrente,48.0,5,10,4,125.0,14.64,4.0,0,0,137580,680029
NR100978,Medellín,mobile,organico,recurrente,38.0,26,6,2,92.6,2.4,4.9,1,0,112886,359653
NR100979,Cali,mobile,email,nuevo,37.0,3,8,0,51.4,21.67,3.1,1,0,72108,273740
NR100980,Medellín,mobile,paid_search,recurrente,33.0,21,7,0,77.4,140.86,3.8,1,0,98752,146027
NR100981,Barranquilla,desktop,referido,nuevo,35.0,43,11,0,115.1,32.99,2.1,0,1,93188,176586
NR100982,Bogotá,desktop,paid_search,premium,29.0,21,9,4,122.1,47.57,3.6,0,0,243009,1086837
NR100983,Bogotá,mobile,social_ads,recurrente,40.0,11,10,2,88.6,77.66,4.3,0,0,85256,307794
NR100984,Cali,mobile,social_ads,recurrente,22.0,42,7,0,90.6,137.6,2.0,1,1,106333,245020
NR100985,Medellín,desktop,paid_search,nuevo,36.0,16,12,2,91.7,3.66,2.8,1,0,166107,2272390
NR100986,Cali,mobile,organico,nuevo,39.0,6,7,0,64.0,5.08,4.2,0,1,50366,0
NR100987,Medellín,mobile,email,premium,32.0,9,13,2,85.1,17.03,3.4,0,0,235960,626773
NR100988,Bogotá,desktop,email,nuevo,37.0,8,6,0,25.2,13.09,1.5,1,0,186757,112083
NR100989,Barranquilla,desktop,organico,recurrente,25.0,48,7,0,79.9,14.71,2.7,0,0,109401,17158
NR100990,Barranquilla,desktop,email,recurrente,25.0,21,9,0,63.1,48.94,4.7,0,0,153004,21125
NR100991,Cali,desktop,social_ads,nuevo,36.0,22,3,1,55.3,86.04,4.5,0,0,38502,17845
NR100992,Bogotá,mobile,paid_search,premium,40.0,19,11,0,83.0,60.03,3.6,1,0,163084,147593
NR100993,Cali,desktop,organico,recurrente,18.0,17,4,1,42.6,20.12,3.1,0,0,154561,211357
NR100994,Medellín,mobile,email,nuevo,39.0,10,9,1,90.7,21.78,,1,0,57628,264742
NR100995,Bogotá,tablet ,social_ads,nuevo,29.0,5,9,4,86.1,86.94,2.9,1,0,158661,705319
NR100996,Bucaramanga,mobile,social_ads,nuevo,32.0,18,12,2,84.6,35.3,2.9,1,0,161497,450265
NR100997,Bogotá,mobile,social_ads,premium,22.0,41,7,0,1.0,32.9,4.6,0,1,137103,0
NR100998,Bucaramanga,mobile,organico,recurrente,26.0,17,11,1,81.2,1.69,2.6,1,0,130430,317705
NR100999,Medellín,mobile,paid_search,nuevo,43.0,32,5,0,32.1,68.02,3.5,0,0,138440,49780
NR101000,Bogotá,desktop,organico,nuevo,34.0,3,5,1,50.7,10.51,2.3,0,1,169223,170749
NR101001,Medellín,mobile,organico,recurrente,31.0,17,7,3,60.0,3.86,4.8,0,0,79650,276535
NR101002,,tablet ,social_ads,recurrente,33.0,9,8,1,52.7,13.7,3.0,0,0,85649,192432
NR101003,Cali,tablet,referido,recurrente,38.0,6,10,0,63.7,13.81,2.6,1,0,138764,192824
NR101004,Barranquilla,mobile,paid_search,nuevo,38.0,36,7,2,81.8,54.38,2.7,0,0,94444,326467
NR101005,Cali,mobile,organico,nuevo,33.0,10,8,1,101.1,9.65,2.3,1,0,154421,293349
NR101006,Cali,mobile,social_ads,recurrente,44.0,21,8,0,65.7,45.97,2.9,0,0,104047,8607
NR101007,Barranquilla,mobile,email,premium,43.0,13,12,4,88.9,34.81,2.2,1,0,126194,744883
NR101008,Bogotá,mobile,email,nuevo,38.0,5,5,0,45.6,18.07,2.3,1,1,125327,51918
NR101009,Medellín,mobile,email,recurrente,34.0,23,5,0,73.5,31.54,3.2,1,0,138488,168134
NR101010,Bogotá,mobile,social_ads,recurrente,,11,11,2,93.2,27.46,3.5,0,0,126956,441047
NR101011,Bucaramanga,mobile,email,recurrente,37.0,25,17,1,69.3,24.8,3.3,1,0,74789,286214
NR101012,Bucaramanga,mobile,organico,nuevo,44.0,7,7,0,43.5,10.03,2.6,0,0,93797,169662
NR101013,Bogotá,mobile,paid_search,premium,42.0,9,12,1,81.3,47.15,5.0,0,0,204358,181678
NR101014,Cali,desktop,paid_search,recurrente,25.0,20,13,2,85.1,60.4,4.2,0,0,84185,313231
NR101015,Bucaramanga,desktop,paid_search,recurrente,24.0,8,10,2,67.2,14.67,3.4,1,0,67593,337175
NR101016,Bogotá,mobile,referido,nuevo,28.0,23,4,0,44.0,15.35,3.1,1,0,125370,85655
NR101017,Cali,mobile,email,nuevo,43.0,2,10,2,85.6,2.62,3.0,1,0,193875,553089
NR101018,Bucaramanga,desktop,organico,nuevo,20.0,5,3,0,53.4,3.85,2.7,0,0,125739,74141
NR101019,Bogotá,mobile,organico,recurrente,38.0,15,11,1,77.5,8.15,3.2,1,1,124239,217753
NR101020,Cali,mobile,paid_search,nuevo,37.0,22,9,2,96.5,57.1,4.2,0,0,91564,248617
NR101021,Bogotá,mobile,paid_search,recurrente,44.0,15,3,1,60.9,41.12,2.9,0,0,139268,185289
NR101022,Bucaramanga,desktop,social_ads,recurrente,36.0,20,9,2,53.8,27.31,4.5,0,0,86270,182817
NR101023,Bucaramanga,desktop,referido,recurrente,22.0,10,9,1,62.7,33.17,2.8,0,0,119447,253312
NR101024,Bucaramanga,mobile,referido,recurrente,25.0,2,6,2,63.5,13.59,4.7,0,0,56765,236961
NR101025,Medellín,desktop,social_ads,nuevo,23.0,11,6,0,51.1,139.49,2.9,0,0,91151,72526
NR101026,Barranquilla,mobile,email,nuevo,29.0,12,7,1,46.4,34.85,3.9,0,1,131716,16107
NR101027,Barranquilla,desktop,social_ads,nuevo,32.0,30,3,1,38.9,89.21,5.0,1,1,112987,128836
NR101028,Bogotá,mobile,organico,recurrente,24.0,22,7,2,89.6,4.57,5.0,0,0,161476,373004
NR101029,Barranquilla,DESKTOP,social_ads,recurrente,47.0,6,6,0,32.8,54.25,2.1,0,0,147018,0
NR101030,Bogotá,desktop,social_ads,nuevo,22.0,1,7,3,69.3,19.7,4.4,1,0,100880,438612
NR101031,Cali,mobile,email,recurrente,46.0,13,11,4,122.1,18.33,2.9,1,0,64746,510977
NR101032,Bogotá,mobile,organico,nuevo,45.0,9,9,2,74.6,4.4,3.8,1,0,119916,458818
NR101033,Bogotá,tablet,paid_search,nuevo,42.0,39,8,1,119.6,75.2,3.7,1,0,129220,334166
NR101034,Bogotá,mobile,paid_search,nuevo,28.0,31,4,2,95.7,44.95,4.2,0,0,174283,566922
NR101035,Cali,mobile,referido,premium,37.0,5,15,2,47.6,11.15,2.9,0,0,121826,253553
NR101036,Medellín,mobile,paid_search,nuevo,23.0,22,9,1,46.2,61.88,2.3,1,0,97819,139400
NR101037,Cali,desktop,email,nuevo,42.0,20,9,2,77.5,16.41,2.7,1,1,134832,364609
NR101038,Bogotá,desktop,email,nuevo,33.0,19,9,0,57.2,73.48,3.7,0,0,144284,133272
NR101039,Bogotá,mobile,organico,nuevo,30.0,60,6,3,88.0,5.44,3.8,0,1,60469,298927
NR101040,Medellín,desktop,social_ads,recurrente,23.0,13,10,2,93.5,14.77,3.8,0,0,171091,528351
NR101041,Barranquilla,mobile,email,nuevo,18.0,24,8,1,33.6,24.1,2.3,1,0,142777,234383
NR101042,Bogotá,desktop,paid_search,nuevo,25.0,26,7,2,95.3,,,1,0,94501,344607
NR101043,Cali,mobile,referido,recurrente,44.0,18,15,2,137.6,15.46,2.9,0,0,157795,624816
NR101044,Bucaramanga,mobile,organico,nuevo,30.0,39,6,2,36.3,4.5,2.9,0,0,109193,306889
NR101045,Cali,tablet,organico,recurrente,32.0,16,9,2,67.6,7.15,3.3,0,0,84762,282700
NR101046,Bogotá,mobile,email,recurrente,40.0,25,9,1,62.8,20.31,2.0,0,0,78447,180573
NR101047,Bogotá,mobile,email,nuevo,50.0,8,7,4,109.0,45.43,4.1,0,0,127194,607638
NR101048,Barranquilla,mobile,referido,recurrente,46.0,5,8,3,111.9,33.86,2.3,0,0,146453,641752
NR101049,Bogotá,tablet,social_ads,nuevo,25.0,20,4,1,44.3,21.73,3.0,1,0,100190,110396
NR101050,Barranquilla,mobile,referido,recurrente,18.0,14,6,1,50.1,46.67,4.0,0,1,68171,0
NR101051,Medellín,mobile,email,recurrente,55.0,14,8,0,83.0,37.56,1.9,0,0,39720,233777
NR101052,Bucaramanga,mobile,email,nuevo,54.0,11,9,0,59.2,47.11,2.0,1,0,93749,209306
NR101053,Barranquilla,mobile,social_ads,recurrente,36.0,25,10,1,78.0,87.66,4.2,1,0,82728,250363
NR101054,Bucaramanga,mobile,paid_search,premium,23.0,16,10,3,106.1,28.15,3.1,0,0,105596,492349
NR101055,Medellín,desktop,referido,premium,43.0,52,11,2,98.3,19.84,4.8,0,0,259881,649307
NR101056,Barranquilla,tablet,paid_search,recurrente,33.0,16,4,0,54.2,86.18,3.6,1,0,134540,66242
NR101057,Medellín,mobile,social_ads,recurrente,33.0,19,8,1,37.8,3.23,2.2,0,0,152276,98931
NR101058,Medellín,mobile,paid_search,nuevo,42.0,27,10,0,80.2,108.93,3.3,0,0,104440,51955
NR101059,Cali,mobile,social_ads,nuevo,37.0,20,6,0,76.1,33.2,,0,1,114644,10248
NR101060,Barranquilla,mobile,paid_search,recurrente,23.0,5,11,0,86.8,10.63,2.0,0,0,118762,135538
NR101061,Bucaramanga,desktop,organico,nuevo,31.0,12,11,0,40.0,6.32,3.3,0,1,80098,153624
NR101062,Barranquilla,mobile,email,premium,40.0,8,7,1,81.5,50.73,4.5,0,0,145013,160438
NR101063,Medellín,mobile,paid_search,nuevo,39.0,20,7,0,41.9,33.06,3.1,0,1,147483,72334
NR101064,Medellín,desktop,social_ads,nuevo,36.0,17,13,2,35.8,43.67,3.6,1,1,118058,341677
NR101065,Cali,mobile,organico,recurrente,42.0,26,5,1,53.6,4.35,3.2,0,0,203047,170516
NR101066,Bogotá,desktop,organico,premium,31.0,28,10,3,59.8,12.58,4.9,0,0,251316,756526
NR101067,Bogotá,mobile,organico,recurrente,36.0,8,6,1,60.2,4.17,3.2,0,0,129400,232475
NR101068,Medellín,desktop,social_ads,recurrente,18.0,28,4,1,26.4,91.21,2.7,0,0,133521,194481
NR101069,Bogotá,tablet,organico,nuevo,30.0,31,5,1,52.4,2.78,3.1,0,1,113048,233923
NR101070,Bogotá,desktop,referido,premium,41.0,7,11,3,52.5,16.71,2.7,0,0,258348,895905
NR101071,Bogotá,tablet,organico,nuevo,30.0,19,4,1,38.9,4.36,1.0,1,1,71047,34898
NR101072,Bogotá,mobile,organico,premium,30.0,34,12,0,80.8,17.4,3.0,1,0,171508,147523
NR101073,Bogotá,mobile,organico,recurrente,25.0,12,12,1,118.3,7.44,4.6,1,0,161947,307089
NR101074,Bucaramanga,mobile,organico,recurrente,43.0,14,6,0,48.0,8.37,4.1,0,1,124007,0
NR101075,Medellín,mobile,email,recurrente,39.0,19,4,0,47.5,25.86,1.8,0,0,184374,113921
NR101076,Medellín,mobile,email,recurrente,41.0,16,14,2,109.4,43.89,2.5,0,0,109174,422729
NR101077,Cali,mobile,social_ads,nuevo,18.0,17,6,2,75.1,32.77,,1,0,49753,213983
NR101078,Bogotá,mobile,organico,premium,33.0,22,10,2,89.0,15.16,3.8,0,0,207529,656904
NR101079,Bucaramanga,mobile,paid_search,recurrente,31.0,23,13,2,104.0,61.4,2.6,0,0,112940,301581
NR101080,Barranquilla,mobile,paid_search,nuevo,31.0,14,8,1,58.2,96.19,2.8,0,0,105541,260706
NR101081,Bogotá,desktop,referido,nuevo,28.0,42,4,1,36.5,24.49,4.2,0,0,99147,104700
NR101082,Medellín,mobile,organico,recurrente,31.0,8,5,0,57.1,13.11,2.4,1,0,149935,132284
NR101083,Barranquilla,mobile,email,recurrente,42.0,25,11,2,30.9,27.53,3.9,0,0,100294,327697
NR101084,Bucaramanga,mobile,paid_search,recurrente,18.0,2,9,3,36.6,26.22,4.2,0,0,128782,397698
NR101085,Medellín,mobile,paid_search,recurrente,50.0,15,7,1,96.3,33.74,5.0,0,0,119796,213134
NR101086,Cali,desktop,paid_search,recurrente,,1,6,0,79.2,42.5,2.6,0,0,173384,134278
NR101087,Bogotá,mobile,organico,premium,34.0,16,19,2,92.8,18.16,2.8,1,0,78862,268981
NR101088,Bucaramanga,mobile,email,recurrente,42.0,20,8,2,45.5,9.6,2.0,0,0,46562,208479
NR101089,Bogotá,desktop,organico,premium,21.0,11,10,0,78.9,10.27,4.3,0,0,215771,124662
NR101090,Bucaramanga,mobile,email,nuevo,28.0,15,11,0,85.7,41.22,3.6,1,0,48114,173205
NR101091,Cali,mobile,organico,recurrente,33.0,24,6,0,34.6,4.14,3.1,0,0,121491,7843
NR101092,Cali,mobile,referido,nuevo,46.0,0,11,0,67.4,17.44,3.5,1,0,83070,76336
NR101093,Medellín,tablet,organico,recurrente,34.0,10,7,1,23.8,11.15,3.4,0,0,178138,132948
NR101094,Bogotá,mobile,email,premium,38.0,35,12,3,81.7,34.82,3.7,1,0,181534,710339
NR101095,Bogotá,mobile,email,nuevo,29.0,5,8,2,67.4,19.65,3.2,0,0,93896,210111
NR101096,Bogotá,mobile,referido,nuevo,38.0,9,5,0,54.6,22.56,3.1,0,0,172090,57048
NR101097,Bogotá,mobile,paid_search,premium,49.0,2,14,2,140.5,10.68,5.0,0,0,214628,682809
NR101098,Barranquilla,mobile,email,nuevo,43.0,10,9,2,49.9,33.76,4.2,1,0,59307,342339
NR101099,Medellín,mobile,paid_search,recurrente,33.0,13,10,1,106.0,75.67,2.3,0,0,49080,223300
NR101100,Bogotá,mobile,organico,recurrente,40.0,60,6,2,53.4,4.0,3.8,0,0,187399,459941
NR101101,Bucaramanga,tablet,paid_search,premium,39.0,19,9,0,48.8,46.67,3.7,0,1,157692,0
NR101102,Bucaramanga,desktop,organico,nuevo,39.0,10,5,1,80.0,4.67,4.9,0,0,114334,192019
NR101103,Bucaramanga,mobile,referido,nuevo,44.0,4,5,1,41.6,1.49,4.4,0,0,123173,157497
NR101104,Bucaramanga,desktop,organico,recurrente,44.0,9,10,0,47.4,2.36,3.1,0,0,125706,107691
NR101105,Bogotá,mobile,social_ads,premium,33.0,7,8,1,80.0,14.4,3.8,0,0,195605,290217
NR101106,Medellín,mobile,social_ads,recurrente,40.0,2,8,2,83.0,44.03,2.5,0,0,120428,494955
NR101107,Barranquilla,desktop,social_ads,nuevo,31.0,5,3,0,33.0,25.68,3.8,1,0,104414,99659
NR101108,Cali,desktop,social_ads,recurrente,26.0,11,10,2,118.5,25.3,4.4,0,0,103331,421628
NR101109,Bogotá,desktop,organico,premium,32.0,12,10,2,68.0,12.28,4.0,0,0,253685,646527
NR101110,Barranquilla,mobile,social_ads,premium,33.0,24,16,4,75.1,36.91,4.4,0,0,178441,779328
NR101111,Bogotá,tablet,paid_search,premium,19.0,36,8,2,46.8,189.1,3.7,0,0,262007,563377
NR101112,Bogotá,mobile,referido,nuevo,42.0,12,15,0,56.5,27.57,3.9,0,0,124150,73823
NR101113,Medellín,desktop,email,nuevo,18.0,26,7,0,49.1,9.1,2.1,1,0,108901,173801
NR101114,Cali,tablet,referido,recurrente,58.0,10,9,0,95.3,15.77,2.2,0,0,112149,202113
NR101115,Cali,mobile,organico,premium,48.0,7,9,0,23.8,4.22,4.5,0,0,239800,71820
